t-SNE-1,t-SNE-2,index,L1,L2,L3,L4,противоион,Номер_в_статье,"IC50,μM±Dark","IC50,μM(Light)",PI,"λex,nm",Клеточная линия,"Conditions,O2%","Время, h",DOI,Unnamed: 14,Unnamed: 15
10.061194,-11.134987,0,[c-]1ccccc1-c1nc2ccccc2[nH]1,[c-]1ccccc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1a,21.0,"0,7 ± 0,1",30,visible light,HeLa,Normoxia(21%),2,10.1039/C9QI00811J,,
-16.549585,5.1305695,26,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,c1ccc(-c2ccccn2)nc1,,,1,9.6,,,,HeLa,,48,10.1039/c0dt00501k,,
5.464319,-9.130913,27,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,c1cnc2c(c1)ccc1cccnc12,,,2,9.8,,,,HeLa,,48,10.1039/c0dt00501k,,
1.3686942,-6.7798834,28,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C,,,3,6.0,,,,HeLa,,48,10.1039/c0dt00501k,,
5.6896367,-6.6274223,29,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,O=Cc1c[c-]c(-c2ccc3ccccc3n2)cc1,c1ccc(-c2ccnc3c2ccc2c(-c4ccccc4)ccnc23)cc1,,,4,4.0,,,,HeLa,,48,10.1039/c0dt00501k,,
-30.710392,2.1256683,30,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,9.7,,,,A549,,48,10.1016/j.jinorgbio.2022.111913,,
-33.142822,1.8494651,31,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)c3c4ccccc4cc4ccccc34)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-9-Ac,1.8,,,,A549,,48,10.1016/j.jinorgbio.2022.111913,,
12.25596,-16.409872,42,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Fc1cc2ccccc2cc1Oc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,Ir1,1.2,,,,A549,,48,10.1016/j.jinorgbio.2022.111946,,
27.087343,-39.382153,63,Fc1c[c-]c(-c2ccccn2)c(F)c1,Fc1c[c-]c(-c2ccccn2)c(F)c1,O=C(O)c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,,[Ir(dfpp)2(picCOOH)]+,84.84,,,,SP2,,19,10.1016/j.jinorgbio.2012.11.001,,
5.8815947,26.326817,65,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC(C)OC(=S)[S-],,,Ir1,11.0,,,,A549,,24,10.1016/j.jinorgbio.2022.111855,,
6.3409395,25.524729,66,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCOC(=S)[S-],,,Ir2,24.6,,,,A549,,24,10.1016/j.jinorgbio.2022.111855,,
4.5259995,24.531433,67,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,S=C([S-])N1CCOCC1,,,Ir3,17.8,,,,A549,,24,10.1016/j.jinorgbio.2022.111855,,
6.4462967,24.89137,68,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCN(CC)C(=S)[S-],,,Ir4,25.4,,,,A549,,24,10.1016/j.jinorgbio.2022.111855,,
